Activation;Tonic;Genes_Polyfun;Genes_Prolif;Genes_Teff;GlucoliticProcess;CD8_CARHigh_Signature;KEGG1;KEGG2;Exhaustion1;Exhau_2;Temeff_TnTcm;Gluconeogenesis;TricarboxylicAcidCycle
IFNG;ASB2;CCL3;KIAA0101;GZMA;PRKAG2;CSF2;ATP12A;ACLY;TNFSF6;KIAA1324;KLRF1;GOT1;DLAT
CCL4;BIRC3;CCL4;DUT;GZMB;PRKAG3;COL6A1;ATP4A;ACO1;PBX3;FN1;SLCO4C1;SDHAF3;CS
CCL3;CCL4;IL3;TK1;PRF1;NCOR1;HLA-DQA1;ATP4B;ACO2;GP49B;ITGA9;CX3CR1;SDS;CS
IL3;CCL3;IFNG;PCNA;IFNG;ENTPD5;HLA-DPA1;ATP5A1;CS;CD244;SMPDL3A;CD160;SIRT7;CS
XCL1;GGT1;IL9;TYMS;EOMES;PRKAG1;HLA-DRA;ATP5B;DLAT;CCL3;ITPRIPL2;GZMA;G6PC2;IDH3B
CSF2;CTLA4;CCL1;SIVA1;LTB;NUPR1;DUSP4;ATP5C1;DLD;EOMES;PRSS23;CD244;G6PC2;IDH3B
GZMB;CSF2RB;GZMB;HELLS;B2M;FOXK2;TNFRSF9;ATP5D;DLST;CASP3;CLECL1;HLA-DRA;G6PC2;ME3
FABP5;GZMB;CCL4L2;CLSPN;CD52;POM121;HLA-DRB1;ATP5E;FH;PLSCR1;GRB10;PTGDR;SLC37A4;FH
XCL2;SDC4;CCL3L3;ATAD2;S100A4;CBFA2T3;FSCN1;ATP5F1;IDH1;KDT1;KIF21A;CCL4;SLC25A13;FH
LTA;XCL1;CCL5;FAM111B;IL32;PFKL;CHRNA6;ATP5G1;IDH2;CTLA4;CTLA4;PRF1;DDB1;FH
LAG3;ZBED2;CSF2;CENPU;S100A6;PFKL;KLF2;ATP5G1P5;IDH3A;PDCD1;ATP10D;CHST12;CRY1;MDH2
MIR155HG;IFNG;GNLY;SLBP;MALAT1;PFKL;CAR-pCCL-BCMA;ATP5G2;IDH3B;IER5;NUDT16;KLRD1;CRY1;MDH2
TNFRSF4;CD248;CXCL8;USP1;CYBA;PFKL;EBI3;ATP5G3;IDH3G;RGS16;PLD1;PTGDS;G6PC3;IDH1
TNFRSF9;FAM13A;C10orf128;SVIP;TPT1;PFKL;HLA-DQB1;ATP5H;LOC283398;A430109M19RIK;LGMN;APOBEC3G;G6PC3;OGDHL
PIM3;LTB;TNFSF14;DNMT1;EMP3;PFKL;RASA3;ATP5I;LOC642502;TNFRSF9;SASH1;KLRA1;G6PC3;PDHA2
CIITA;OPN3;LBH;MCM7;LGALS3;PFKL;HLA-DPB1;ATP5J;MDH1;PENK1;ZNF704;CD300A;GNMT;ME2
CD74;SOCS2;SLA;STRA13;FTL;PFKL;RNF157;ATP5J2;MDH2;EOMES;PLEKHH2;NKG7;SIRT1;MDH1B
HLA-DRB1;TNFRSF10A;IL31;GINS2;LST1;PFKL;CIITA;ATP5L;OGDH;COCH;CTHRC1;FGR;PGK1;OGDH
HLA-DRB5;PLXNA4;CRTAM;RRM2;SH3BGRL3;PFKL;TUBB6;ATP5O;OGDHL;PTPN13;ID1;PLCG2;PGK1;OGDH
HLA-DMB;HPCAL1;PHLDA1;FEN1;NCR3;PFKL;COL6A2;ATP6;PC;TCRG-V4;FAXC;CTSC;GOT2;SDHAF2
HLA-DPB1;;LIF;ZWINT;TMSB4X;TPR;RRM2;ATP6AP1;PCK1;NR4A2;EGR1;CST7;PGK2;SDHD
HLA-DQA2;;SIAH2;DNAJC9;HCST;MLXIPL;GNG8;ATP6V0A1;PCK2;CD160;TNFSF11;PTGER2;ALDOB;SDHD
HLA-DOA;;MIR155HG;TCF19;CXCR6;HK3;FEN1;ATP6V0A2;PDHA1;PTGER4;PTGIS;HLA-DPA1;ENO2;SDHD
HLA-DRA;;RGCC;CENPM;ITM2B;HK3;TNFRSF4;ATP6V0A4;PDHA2;CCL4;KLRC1;HLA-DRB1;SELENOS;SDHD
CD25;;IER3;UBE2T;ALOX5AP;HK2;HLA-DOA;ATP6V0B;PDHB;WBP5;CD38;CD58;MDH2;SUCLA2
CD69;;AC069363.1;MYBL2;ANXA1;HK2;MYB;ATP6V0C;SDHA;GPR56;RBM47;DMN;PTPN2;SUCLA2
CCL5;;BTG3;TMEM106C;FXYD5;HK2;CD74;ATP6V0D1;SDHB;1110067D22RIK;SPINK2;GZMK;NLN;SUCLA2
SP140;;ZBED2;CARHSP1;SDF2L1;SEH1L;RAP1GAP2;ATP6V0D2;SDHC;ENTPD1;AKAP5;GOLPH3L;ALDOC;SDHB
TIGIT;;RPS27A;RBBP8;CTSC;DDIT4;S1PR1;ATP6V0E1;SDHD;SH2D2A;ENTPD1;TNFRSF9;TPI1;SDHB
CD247;;XCL1;E2F1;RPS27;NUP35;PASK;ATP6V0E2;SUCLA2;SEPT4;KLRC2;KIF11;TPI1;IDH2
CCR5;;RPS28;CDT1;ARL4C;NUP37;CHST2;ATP6V1A;SUCLG1;ISG20;;AOAH;TPI1;PDHB
NLRC3;;RPS2;MCM3;CD3D;NUP43;THY1;ATP6V1B1;SUCLG2;TRIM47;;POU2AF1;WDR5;DLST
PTPRCAP;;PRKCDBP;SNRNP25;TRAC;NUP155;CENPU;ATP6V1B2;;SERPINA3G;;RRBP1;PDK2;DLST
STAT4;;MAF;RFC2;STK17B;NUP98;PLXNA4;ATP6V1C1;;CASP4;;FLJ14213;GPT;DLST
IL12RB1;;NKG7;ESCO2;PDLIM2;PGK1;XCL2;ATP6V1C2;;9130009C22RIK;;VCAM1;PER2;IDH3A
TRAT1;;AC133644.2;ASF1B;SLFN5;PGK1;ABLIM1;ATP6V1D;;C79248;;JAKMIP2;LEP;IDH3A
SLA2;;RPL28;CDCA5;GRAP2;PGK1;AL606807.1;ATP6V1E1;;LAG3;;FLJ11151;SLC25A10;SDHC
CXCR3;;NPM1;RFC4;MT-CO2;ARNT;LDLRAP1;ATP6V1E2;;NR4A2;;HLA-DQA1;URS00005743AE_9606;SDHC
ZAP70;;HOPX;CDC45;ISG20;LDHA;ZBP1;ATP6V1F;;NFTAC1;;SMC2;URS0000476BE1_9606;SDHC
NKG7;;NFKBIA;PKMYT1;XBP1;SLC2A6;SLC12A7;ATP6V1G1;;CAR2;;CTNNA1;G6PC;SUCLG1
SIRPG;;RPL23A;FBXO5;EVL;SLC4A4;HLA-DQA2;ATP6V1G2;;C330007P06RIK;;CRTAM;G6PC;SUCLG1
ICOS;;SLC1A5;HIST1H1D;CD48;SLC4A4;HMSD;ATP6V1G3;;GPD2;;;G6PC;SUCLG1
IL18R1;;ODC1;DHFR;ATP6V1G1;PGK2;CD300A;ATP6V1H;;2700084L22RIK;;;G6PC;ACO1
SLAMF7;;GAPDH;RNASEH2A;BIN2;PGK2;ELL2;ATP8;;RNF11;;;C1QTNF3;PDHA1
PTPN7;;RPL12;CCNE2;GBP5;PGK2;HLA-DMA;COX1;;CAPZB;;;PPARGC1A;isocit_dh_human
ITK;;IL13;ATAD5;TC2N;ALDOB;CDK1;COX10;;TUBB2;;;PPARGC1A;NNT
CRTAM;;ZEB2;CDC6;ISG15;ALDOB;DMD;COX11;;BUB1;;;PGAM1;NNT
GZMA;;RGS16;RAD51;IL4R;ALDOB;SGPP2;COX15;;JAK3;;;PCK1;IDH3G
CD3E;;TNFAIP8;MCM5;SAMHD1;ENO2;MMP9;COX17;;9130410M22RIK;;;PCK1;IDH3G
GPR171;;CYCS;DONSON;RABAC1;ENO2;ENTPD1;COX2;;CD9;;;PCK1;SDHA
TARP;;;;IFITM2;ENO2;VSIR;COX3;;TCRG-V4;;;PCK1;SDHA
CD3D;;;;CTSW;HK1;AC009133.3;COX4I1;;1810054D07RIK;;;PCK1;SDHA
LCK;;;;RPL27A;HK1;RHOXF1;COX4I2;;RCN;;;GCK;IREB2
SLAMF1;;;;IRF1;BPGM;BHLHE40-AS1;COX5A;;2010100O12RIK;;;ARPP19;ACO2
CD3G;;;;;TIGAR;TSPAN32;COX5B;;SYBL1;;;SLC35B4;ACO2
;;;;;OGDHL;HLA-DRB5;COX6A1;;ETF1;;;FOXO1;ACO2
;;;;;HIF1A;CMAHP;COX6A2;;CPA3;;;SLC25A11;ACO2
;;;;;RAE1;PHLDA1;COX6B1;;CD7;;;USP7;DLD
