"Package","Version"
"abind","1.4-5"
"ade4","1.7-22"
"anndata","0.7.5.6"
"annotate","1.72.0"
"AnnotationDbi","1.56.2"
"AnnotationFilter","1.18.0"
"AnnotationHub","3.2.2"
"anytime","0.3.9"
"aod","1.3.3"
"ape","5.7-1"
"aplot","0.2.0"
"ashr","2.2-63"
"askpass","1.1"
"assertive.base","0.0-9"
"assertive.files","0.0-2"
"assertive.numbers","0.0-2"
"assertive.properties","0.0-5"
"assertive.types","0.0-3"
"assertthat","0.2.1"
"AUCell","1.16.0"
"babelgene","22.9"
"backports","1.4.1"
"ballgown","2.26.0"
"base64enc","0.1-3"
"basilisk","1.6.0"
"basilisk.utils","1.6.0"
"batchelor","1.10.0"
"bbmle","1.0.25"
"bdsmatrix","1.3-6"
"beachmat","2.10.0"
"beeswarm","0.4.0"
"BH","1.81.0-1"
"biglm","0.9-2.1"
"Biobase","2.54.0"
"BiocFileCache","2.2.1"
"BiocGenerics","0.40.0"
"BiocIO","1.4.0"
"BiocManager","1.30.22"
"BiocNeighbors","1.12.0"
"BiocParallel","1.28.3"
"BiocSingular","1.10.0"
"BiocVersion","3.14.0"
"biocViews","1.62.1"
"biomaRt","2.50.3"
"Biostrings","2.62.0"
"biovizBase","1.42.0"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.4"
"bluster","1.4.0"
"boot","1.3-28.1"
"brew","1.0-8"
"brio","1.1.3"
"broom","1.0.5"
"BSgenome","1.62.0"
"bslib","0.5.1"
"BUSpaRse","1.8.0"
"cachem","1.0.8"
"Cairo","1.6-1"
"callr","3.7.3"
"car","3.1-2"
"carData","3.0-5"
"caret","6.0-94"
"caTools","1.18.2"
"celda","1.10.0"
"celldex","1.4.0"
"cellranger","1.1.0"
"cerebroApp","1.3.1"
"cFIT","0.0.0.9000"
"checkmate","2.2.0"
"cicero","1.3.9"
"circlize","0.4.15"
"class","7.3-22"
"classInt","0.4-10"
"cli","3.6.1"
"clipr","0.8.0"
"clock","0.7.0"
"clue","0.3-64"
"cluster","2.1.4"
"clusterProfiler","4.2.2"
"clustree","0.5.0"
"codetools","0.2-19"
"collections","0.3.7"
"colorspace","2.1-0"
"colorway","0.2.0"
"colourpicker","1.2.0"
"combinat","0.0-8"
"commonmark","1.9.0"
"ComplexHeatmap","2.10.0"
"conflicted","1.2.0"
"corpcor","1.6.10"
"corrplot","0.92"
"cowplot","1.1.1"
"cpp11","0.4.6"
"crayon","1.5.2"
"credentials","1.3.2"
"crosstalk","1.2.0"
"curl","5.0.2"
"cyclocomp","1.1.0"
"DALEX","2.4.3"
"DALEXtra","2.3.0"
"data.table","1.14.8"
"data.tree","1.0.0"
"DBI","1.1.3"
"dbplyr","2.3.3"
"dbscan","1.1-11"
"DDRTree","0.1.5"
"DelayedArray","0.20.0"
"DelayedMatrixStats","1.16.0"
"deldir","1.0-9"
"densEstBayes","1.0-2.2"
"densityClust","0.3.2"
