"Package","Version"
"abind","1.4-8"
"annotate","1.86.1"
"AnnotationDbi","1.70.0"
"aod","1.3.3"
"ape","5.8-1"
"aplot","0.2.8"
"ashr","2.2-63"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.2.0"
"AUCell","1.30.1"
"babelgene","22.9"
"backports","1.5.0"
"base","4.5.1"
"base64enc","0.1-3"
"basilisk","1.20.0"
"basilisk.utils","1.20.0"
"bayestestR","0.16.1"
"beachmat","2.24.0"
"beeswarm","0.4.0"
"BH","1.87.0-1"
"Biobase","2.68.0"
"BiocFileCache","2.16.0"
"BiocGenerics","0.54.0"
"BiocManager","1.30.26"
"BiocNeighbors","2.2.0"
"BiocParallel","1.42.1"
"BiocSingular","1.24.0"
"BiocVersion","3.21.1"
"Biostrings","2.76.0"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"boot","1.3-31"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.8"
"bslib","0.9.0"
"cachem","1.1.0"
"Cairo","1.6-2"
"callr","3.7.6"
"caTools","1.18.3"
"cellranger","1.1.0"
"checkmate","2.3.2"
"class","7.3-23"
"cli","3.6.5"
"clipr","0.8.0"
"cluster","2.1.8.1"
"clusterProfiler","4.16.0"
"codetools","0.2-19"
"coin","1.4-3"
"collections","0.3.8"
"colorspace","2.1-1"
"commonmark","1.9.5"
"compiler","4.5.1"
"conflicted","1.2.0"
"corpcor","1.6.10"
"correlation","0.8.7"
"cowplot","1.1.3"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.2"
"crosstalk","1.2.1"
"curl","6.4.0"
"data.table","1.17.6"
"datasets","4.5.1"
"datawizard","1.1.0"
"DBI","1.2.3"
"dbplyr","2.5.0"
"DelayedArray","0.34.1"
"DelayedMatrixStats","1.30.0"
"Deriv","4.2.0"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.6"
"digest","0.6.37"
"dir.expiry","1.16.0"
"doBy","4.7.0"
"DOSE","4.2.0"
"downlit","0.4.4"
"dplyr","1.1.4"
"dqrng","0.4.1"
"dreamlet","1.6.0"
"DropletUtils","1.28.1"
"dtplyr","1.3.1"
"edgeR","4.6.2"
"effectsize","1.0.1"
"ellipsis","0.3.2"
"EnrichmentBrowser","2.38.0"
"enrichplot","1.28.4"
"EnvStats","3.1.0"
"etrunct","0.1"
"evaluate","1.0.4"
"fANCOVA","0.6-1"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fgsea","1.34.0"
"filelock","1.0.3"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.0"
"foreign","0.8-90"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.6"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"gargle","1.5.2"
"generics","0.1.4"
"GenomeInfoDb","1.44.0"
"GenomeInfoDbData","1.2.14"
"GenomicRanges","1.60.0"
"gert","2.1.5"
"ggbeeswarm","0.7.2"
"ggforce","0.5.0"
"ggfun","0.1.9"
"ggnewscale","0.5.2"
"ggplot2","3.5.2"
"ggplotify","0.1.2"
"ggrastr","1.0.2"
"ggrepel","0.9.6"
"ggsignif","0.6.4"
"ggtangle","0.0.7"
"ggtree","3.16.3"
"gh","1.5.0"
"gitcreds","0.1.2"
"glue","1.8.0"
"GO.db","3.21.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"GOSemSim","2.34.0"
"gplots","3.2.0"
"graph","1.86.0"
"graphics","4.5.1"
"graphite","1.54.0"
"grDevices","4.5.1"
"grid","4.5.1"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"GSEABase","1.70.0"
"gson","0.1.0"
"gtable","0.3.6"
"gtools","3.9.5"
"h5mread","1.0.1"
"haven","2.5.5"
"HDF5Array","1.36.0"
"here","1.0.1"
"highr","0.11"
"Hmisc","5.2-3"
"hms","1.1.3"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.1.2"
"hwriter","1.3.2.1"
